date,sentences_about_victims,total_sentences,pct_coverage
2015-01-01T00:00:00Z,2,1656282,0.0000012075
2015-01-08T00:00:00Z,5,2004875,0.0000024939
2015-01-15T00:00:00Z,0,2011613,0.0000000000
2015-01-22T00:00:00Z,0,2207978,0.0000000000
2015-01-29T00:00:00Z,1,2039857,0.0000004902
2015-02-05T00:00:00Z,1,2017600,0.0000004956
2015-02-12T00:00:00Z,11,1911162,0.0000057557
2015-02-19T00:00:00Z,6,1978653,0.0000030324
2015-02-26T00:00:00Z,150,2081752,0.0000720547
2015-03-05T00:00:00Z,410,1977603,0.0002073217
2015-03-12T00:00:00Z,147,1988352,0.0000739306
2015-03-19T00:00:00Z,24,1933261,0.0000124143
2015-03-26T00:00:00Z,32,1894398,0.0000168919
2015-04-02T00:00:00Z,598,1827351,0.0003272497
2015-04-09T00:00:00Z,1706,1933454,0.0008823587
2015-04-16T00:00:00Z,582,1931772,0.0003012778
2015-04-23T00:00:00Z,4034,2050839,0.0019669998
2015-04-30T00:00:00Z,3198,1999283,0.0015995734
2015-05-07T00:00:00Z,19,1915478,0.0000099192
2015-05-14T00:00:00Z,0,1937459,0.0000000000
2015-05-21T00:00:00Z,4,1741458,0.0000022969
2015-05-28T00:00:00Z,8,1901236,0.0000042078
2015-06-04T00:00:00Z,4,1911691,0.0000020924
2015-06-11T00:00:00Z,6,1931423,0.0000031065
2015-06-18T00:00:00Z,3,2184920,0.0000013730
2015-06-25T00:00:00Z,1,2239375,0.0000004466
2015-07-02T00:00:00Z,0,1972140,0.0000000000
2015-07-09T00:00:00Z,33,2145064,0.0000153842
2015-07-16T00:00:00Z,1237,2087320,0.0005926260
2015-07-23T00:00:00Z,938,2088004,0.0004492329
2015-07-30T00:00:00Z,309,2180739,0.0001416951
2015-08-06T00:00:00Z,405,2221010,0.0001823495
2015-08-13T00:00:00Z,67,2135289,0.0000313775
2015-08-20T00:00:00Z,137,2149747,0.0000637284
2015-08-27T00:00:00Z,37,2150837,0.0000172026
2015-09-03T00:00:00Z,9,2039611,0.0000044126
2015-09-10T00:00:00Z,0,2822608,0.0000000000
2015-09-17T00:00:00Z,0,3222252,0.0000000000
2015-09-24T00:00:00Z,27,3236398,0.0000083426
2015-10-01T00:00:00Z,5,3240051,0.0000015432
2015-10-08T00:00:00Z,3,3174046,0.0000009452
2015-10-15T00:00:00Z,24,3280754,0.0000073154
2015-10-22T00:00:00Z,6,3533047,0.0000016983
2015-10-29T00:00:00Z,11,3711151,0.0000029640
2015-11-05T00:00:00Z,2,3554502,0.0000005627
2015-11-12T00:00:00Z,354,3409023,0.0001038421
2015-11-19T00:00:00Z,819,3262908,0.0002510031
2015-11-26T00:00:00Z,39,2745023,0.0000142075
2015-12-03T00:00:00Z,15,3265862,0.0000045930
2015-12-10T00:00:00Z,6,3153445,0.0000019027
2015-12-17T00:00:00Z,50,2998978,0.0000166723
2015-12-24T00:00:00Z,860,2270209,0.0003788197
2015-12-31T00:00:00Z,156,2760170,0.0000565183
